Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;3
20;0;7
30;0;6
40;0;10
50;0;12
60;1;20
70;1;11
80;1;14
90;1;12
100;1;27
110;1;8
120;1;18
130;1;16
140;1;15
150;1;16
160;1;26
170;1;28
180;1;30
190;2;20
200;1;24
210;2;22
220;1;17
230;1;25
240;1;23
250;1;16
260;1;16
270;1;12
280;1;25
290;1;28
300;1;21
310;1;26
320;1;22
330;1;19
340;1;27
350;1;28
360;1;16
370;1;19
380;1;25
390;2;21
400;1;25
410;1;30
420;1;22
430;1;20
440;1;24
450;1;27
460;1;20
470;1;21
480;1;24
490;1;22
500;1;23
510;1;22
520;1;23
530;1;22
540;1;28
550;1;30
560;2;31
570;2;32
580;2;21
590;2;26
600;2;32
610;2;28
620;1;28
630;1;22
640;1;26
650;2;26
660;2;30
670;2;31
680;2;25
690;2;32
700;2;30
710;2;31
720;2;31
730;2;29
740;2;28
750;2;20
760;2;20
770;2;29
780;2;34
790;2;26
800;2;24
810;2;22
820;2;28
830;2;27
840;2;37
850;2;31
860;2;19
870;2;37
880;2;21
890;2;44
900;2;30
910;2;26
920;2;35
930;2;27
940;2;25
950;2;29
960;2;27
970;2;21
980;2;33
990;2;29
1000;2;35
1010;2;26
1020;2;29
1030;2;30
1040;2;28
1050;2;24
1060;2;25
1070;2;27
1080;2;25
1090;2;33
1100;2;23
1110;1;28
1120;2;19
1130;2;29
1140;2;19
1150;1;28
1160;2;18
1170;2;30
1180;2;34
1190;2;18
1200;2;18
1210;2;28
1220;2;27
1230;2;23
1240;2;23
1250;2;22
1260;2;25
1270;2;21
1280;2;21
1290;2;25
1300;2;30
1310;2;27
1320;2;35
1330;2;25
1340;2;22
1350;2;33
1360;2;34
1370;2;20
1380;2;27
1390;2;25
1400;2;28
1410;2;30
1420;2;34
1430;2;13
1440;2;27
1450;2;17
1460;2;33
1470;2;25
1480;2;30
1490;2;26
1500;2;31
1510;2;29
1520;2;25
1530;2;41
1540;2;28
1550;2;27
1560;2;34
1570;2;36
1580;2;26
1590;2;24
1600;2;29
1610;2;27
1620;2;45
1630;2;27
1640;2;26
1650;2;20
1660;2;35
1670;1;32
1680;1;22
