Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;3
20;0;2
30;0;7
40;0;9
50;0;9
60;0;9
70;0;8
80;0;9
90;1;17
100;1;12
110;1;15
120;1;11
130;1;8
140;1;15
150;1;19
160;1;11
170;1;15
180;1;11
190;1;16
200;1;22
210;1;15
220;1;17
230;1;9
240;1;22
250;1;20
260;1;17
270;1;12
280;1;25
290;1;17
300;1;15
310;1;15
320;1;25
330;1;14
340;1;12
350;1;15
360;1;16
370;1;20
380;1;12
390;1;6
400;1;21
410;1;25
420;1;19
430;1;16
440;1;10
450;1;18
460;1;27
470;1;17
480;1;16
490;1;21
500;1;25
510;1;17
520;1;19
530;1;14
540;1;15
550;1;22
560;1;19
570;1;19
580;1;24
590;1;14
600;1;20
610;1;13
620;1;23
630;1;19
640;1;18
650;1;17
660;1;13
670;1;25
680;1;17
690;1;16
700;1;19
710;1;19
720;1;17
730;1;16
740;1;13
750;1;20
760;1;8
770;1;19
780;0;13
790;1;19
800;0;18
810;1;13
820;1;10
830;1;8
840;1;17
850;1;7
860;1;8
870;1;17
880;1;19
890;1;15
900;1;15
910;1;16
920;1;10
930;1;11
940;1;8
950;1;19
960;1;16
970;1;9
980;1;13
990;1;13
1000;1;17
1010;0;13
1020;1;12
1030;1;12
1040;1;12
1050;1;24
1060;1;8
1070;1;15
1080;1;11
1090;1;9
1100;1;10
1110;1;16
1120;1;25
1130;1;11
1140;1;9
1150;1;18
1160;1;14
1170;1;13
1180;1;17
1190;1;25
1200;1;13
1210;1;12
1220;1;16
1230;1;11
1240;1;10
1250;1;19
1260;0;11
1270;1;14
1280;1;10
1290;1;16
1300;1;14
1310;1;16
1320;1;18
1330;1;14
1340;1;23
1350;1;12
1360;1;16
1370;1;20
1380;1;15
1390;1;11
1400;1;15
1410;1;12
1420;1;16
1430;1;9
1440;1;12
1450;1;10
1460;1;20
1470;1;11
1480;1;22
1490;1;19
1500;1;14
1510;1;13
1520;1;21
1530;1;10
1540;1;21
1550;1;13
1560;1;18
1570;1;19
1580;1;14
1590;1;13
1600;1;14
1610;1;19
1620;1;14
1630;1;18
1640;1;14
1650;1;20
1660;1;13
1670;1;21
1680;1;9
