Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;2
20;0;2
30;0;6
40;0;5
50;1;19
60;1;14
70;1;20
80;1;20
90;1;16
100;1;24
110;1;15
120;1;16
130;1;16
140;1;19
150;1;23
160;1;21
170;1;24
180;2;25
190;2;22
200;2;27
210;2;26
220;2;26
230;2;20
240;2;24
250;2;28
260;2;31
270;2;25
280;2;26
290;1;35
300;1;16
310;1;22
320;1;34
330;1;38
340;2;19
350;2;24
360;2;28
370;2;22
380;2;24
390;2;21
400;2;22
410;2;22
420;2;18
430;2;23
440;2;35
450;2;29
460;2;25
470;2;27
480;2;28
490;2;33
500;2;34
510;2;23
520;2;30
530;2;35
540;2;40
550;2;29
560;2;31
570;2;27
580;2;47
590;2;41
600;2;29
610;2;27
620;2;27
630;2;23
640;2;30
650;2;22
660;2;40
670;2;37
680;2;30
690;2;50
700;2;34
710;2;34
720;2;48
730;2;44
740;2;33
750;2;37
760;2;34
770;2;31
780;2;26
790;3;31
800;3;40
810;3;28
820;3;29
830;3;39
840;2;31
850;2;41
860;2;33
870;2;40
880;2;35
890;2;29
900;2;22
910;2;39
920;2;23
930;2;33
940;2;29
950;2;29
960;2;33
970;2;24
980;2;36
990;2;23
1000;2;37
1010;2;29
1020;2;37
1030;2;25
1040;2;25
1050;2;21
1060;2;32
1070;2;41
1080;2;29
1090;2;34
1100;3;28
1110;3;27
1120;2;24
1130;2;30
1140;2;32
1150;2;36
1160;2;28
1170;2;33
1180;2;30
1190;2;30
1200;2;34
1210;2;22
1220;2;32
1230;2;37
1240;2;18
1250;2;24
1260;1;18
1270;2;21
1280;2;28
1290;2;24
1300;2;33
1310;2;27
1320;2;30
1330;2;32
1340;2;32
1350;2;32
1360;2;34
1370;2;24
1380;2;24
1390;2;27
1400;2;28
1410;2;27
1420;2;23
1430;2;36
1440;2;21
1450;2;38
1460;2;26
1470;2;21
1480;2;31
1490;1;19
1500;2;23
1510;2;18
1520;2;30
1530;2;27
1540;2;27
1550;2;28
1560;2;40
1570;2;33
1580;2;27
1590;2;28
1600;2;32
1610;2;29
1620;2;35
1630;2;23
1640;2;17
1650;2;26
1660;2;38
1670;2;23
1680;2;34
