Year;SelfSacrifice;NbHeroes
0;0;0
0;0;0
10;0;5
20;0;12
30;1;24
40;2;30
50;2;23
60;2;41
70;2;48
80;2;30
90;3;36
100;3;46
110;3;52
120;3;44
130;3;61
140;3;45
150;3;55
160;3;40
170;4;43
180;3;52
190;3;47
200;4;55
210;4;49
220;4;68
230;4;65
240;4;57
250;4;54
260;4;58
270;4;61
280;4;63
290;4;56
300;4;62
310;4;49
320;4;50
330;3;47
340;3;54
350;3;49
360;3;37
370;3;41
380;3;38
390;3;49
400;3;43
410;3;34
420;3;46
430;3;58
440;3;53
450;3;51
460;3;48
470;3;45
480;4;68
490;3;42
500;3;46
510;3;52
520;3;59
530;3;40
540;3;56
550;3;43
560;3;36
570;3;45
580;3;62
590;4;51
600;4;62
610;4;50
620;4;58
630;4;55
640;4;64
650;4;48
660;3;54
670;3;58
680;3;57
690;3;47
700;3;46
710;3;33
720;3;56
730;3;56
740;3;61
750;3;49
760;3;51
770;3;60
780;4;51
790;4;53
800;4;68
810;4;55
820;4;56
830;4;82
840;4;71
850;4;50
860;4;45
870;4;55
880;4;58
890;4;56
900;4;69
910;4;37
920;4;56
930;4;44
940;4;54
950;4;59
960;4;46
970;4;66
980;4;48
990;4;52
1000;4;45
1010;4;53
1020;4;55
1030;4;56
1040;4;58
1050;4;57
1060;4;56
1070;4;55
1080;4;78
1090;4;60
1100;4;63
1110;4;56
1120;4;54
1130;4;82
1140;4;47
1150;4;55
1160;3;43
1170;3;57
1180;3;64
1190;3;52
1200;3;56
1210;3;53
1220;3;50
1230;4;45
1240;3;52
1250;3;54
1260;4;60
1270;4;46
1280;3;51
1290;4;59
1300;3;56
1310;3;67
1320;3;55
1330;4;53
1340;4;47
1350;3;51
1360;4;53
1370;3;56
1380;3;44
1390;4;55
1400;4;62
1410;4;60
1420;4;57
1430;4;64
1440;3;62
1450;4;52
1460;4;55
1470;4;53
1480;4;52
1490;4;47
1500;4;57
1510;4;58
1520;4;64
1530;4;45
1540;4;52
1550;4;56
1560;4;51
1570;4;57
1580;4;58
1590;4;60
1600;4;61
1610;4;57
1620;4;48
1630;4;49
1640;4;53
1650;3;62
1660;3;47
1670;3;59
1680;3;45
